Date,Equity,DailyReturn
2015-01-02,100000.000000,0.000000
2015-01-05,97182.844193,-0.028172
2015-01-06,97192.013303,0.000094
2015-01-07,98554.828439,0.014022
2015-01-08,102341.513157,0.038422
2015-01-09,102451.298072,0.001073
2015-01-12,99926.859989,-0.024640
2015-01-13,100814.048243,0.008878
2015-01-14,100429.883824,-0.003811
2015-01-15,97704.198364,-0.027140
2015-01-16,96945.022868,-0.007770
2015-01-20,99442.056113,0.025757
2015-01-21,100201.239493,0.007634
2015-01-22,102808.010349,0.026015
2015-01-23,103338.517862,0.005160
2015-01-26,103448.287008,0.001062
2015-01-27,99826.220532,-0.035013
2015-01-28,105469.669720,0.056533
2015-01-29,108753.306950,0.031133
2015-01-30,107161.815947,-0.014634
2015-02-02,108506.355936,0.012547
2015-02-03,108524.623199,0.000168
2015-02-04,109356.978126,0.007670
2015-02-05,110137.519304,0.007138
2015-02-06,109210.051615,-0.008421
2015-02-09,109935.522945,0.006643
2015-02-10,112047.532414,0.019211
2015-02-11,114673.768903,0.023439
2015-02-12,116124.664259,0.012652
2015-02-13,116693.984780,0.004903
2015-02-17,117382.700830,0.005902
2015-02-18,118199.965752,0.006962
2015-02-19,117951.974047,-0.002098
2015-02-20,118916.197016,0.008175
2015-02-23,122130.123782,0.027027
2015-02-24,121367.991780,-0.006240
2015-02-25,118264.244129,-0.025573
2015-02-26,119761.016571,0.012656
2015-02-27,117961.206229,-0.015028
2015-03-02,118539.687976,0.004904
2015-03-03,118787.648145,0.002092
2015-03-04,118034.677369,-0.006339
2015-03-05,116078.755637,-0.016571
2015-03-06,116253.197362,0.001503
2015-03-09,116749.070396,0.004265
2015-03-10,114334.038795,-0.020686
2015-03-11,112249.552424,-0.018232
2015-03-12,114278.929527,0.018079
2015-03-13,113489.203472,-0.006911
2015-03-16,114738.070933,0.011004
2015-03-17,116657.253152,0.016727
2015-03-18,117970.398991,0.011256
2015-03-19,117079.670814,-0.007550
2015-03-20,115610.437238,-0.012549
2015-03-23,116813.356657,0.010405
2015-03-24,116335.837612,-0.004088
2015-03-25,113296.376223,-0.026127
2015-03-26,114086.078626,0.006970
2015-03-27,113176.988577,-0.007968
2015-03-30,116041.992474,0.025314
2015-03-31,114260.559771,-0.015352
2015-04-01,114095.279272,-0.001447
2015-04-02,115077.832577,0.008612
2015-04-06,116941.897645,0.016198
2015-04-07,115711.447243,-0.010522
2015-04-08,115334.946088,-0.003254
2015-04-09,116216.489387,0.007643
2015-04-10,116712.354536,0.004267
2015-04-13,116482.764123,-0.001967
2015-04-14,115977.745632,-0.004336
2015-04-15,116418.493630,0.003800
2015-04-16,115858.365871,-0.004811
2015-04-17,114554.404910,-0.011255
2015-04-20,117171.472289,0.022846
2015-04-21,116537.873391,-0.005407
2015-04-22,118108.116972,0.013474
2015-04-23,119072.324173,0.008164
2015-04-24,119632.475584,0.004704
2015-04-27,121808.779198,0.018192
2015-04-28,119889.612747,-0.015756
2015-04-29,118126.478844,-0.014706
2015-04-30,114921.713304,-0.027130
2015-05-01,118411.162757,0.030364
2015-05-04,118181.580228,-0.001939
2015-05-05,115518.604227,-0.022533
2015-05-06,114793.164432,-0.006280
2015-05-07,115503.175208,0.006185
2015-05-08,117679.376330,0.018841
2015-05-11,116480.643323,-0.010186
2015-05-12,116065.652404,-0.003563
2015-05-13,116194.776808,0.001113
2015-05-14,118905.766463,0.023331
2015-05-15,118739.784287,-0.001396
2015-05-18,120049.185219,0.011027
2015-05-19,119938.517294,-0.000922
2015-05-20,119929.316648,-0.000077
2015-05-21,121155.698897,0.010226
2015-05-22,122216.114738,0.008753
2015-05-26,119523.557911,-0.022031
2015-05-27,121755.025981,0.018670
2015-05-28,121515.320376,-0.001969
2015-05-29,120132.172365,-0.011382
2015-06-01,120371.862201,0.001995
2015-06-02,119837.136740,-0.004442
2015-06-03,119984.630900,0.001231
2015-06-04,119283.836539,-0.005841
2015-06-05,118629.124247,-0.005489
2015-06-08,117845.350623,-0.006607
2015-06-09,117494.961326,-0.002973
2015-06-10,118841.204261,0.011458
2015-06-11,118573.802111,-0.002250
2015-06-12,117264.424831,-0.011043
2015-06-15,117033.880452,-0.001966
2015-06-16,117660.927734,0.005358
2015-06-17,117384.285517,-0.002351
2015-06-18,117919.097703,0.004556
2015-06-19,116738.805408,-0.010009
2015-06-22,117670.144148,0.007978
2015-06-23,117135.331963,-0.004545
2015-06-24,118131.209253,0.008502
2015-06-25,117568.708406,-0.004762
2015-06-26,116877.114690,-0.005882
2015-06-29,114830.069509,-0.017515
2015-06-30,115659.925203,0.007227
2015-07-01,116738.805408,0.009328
2015-07-02,116591.287595,-0.001264
2015-07-06,116185.536742,-0.003480
2015-07-07,115899.685995,-0.002460
2015-07-08,113022.729932,-0.024823
2015-07-09,110717.435942,-0.020397
2015-07-10,113677.410688,0.026734
2015-07-13,115872.020985,0.019306
2015-07-14,115825.923147,-0.000398
2015-07-15,116941.645356,0.009633
2015-07-16,118500.031378,0.013326
2015-07-17,119523.557911,0.008637
2015-07-20,121782.777715,0.018902
2015-07-21,120565.580344,-0.009995
2015-07-22,115466.309552,-0.042295
2015-07-23,115410.995300,-0.000479
2015-07-24,114802.388731,-0.005273
2015-07-27,113207.129168,-0.013896
2015-07-28,113769.637900,0.004969
2015-07-29,113410.000653,-0.003161
2015-07-30,112838.291275,-0.005041
2015-07-31,111851.654051,-0.008744
2015-08-03,109214.411476,-0.023578
2015-08-04,105710.392362,-0.032084
2015-08-05,106411.178840,0.006629
2015-08-06,106642.756025,0.002176
2015-08-07,107004.009495,0.003388
2015-08-10,110894.400552,0.036357
2015-08-11,105123.679703,-0.052038
2015-08-12,106744.696344,0.015420
2015-08-13,106661.291345,-0.000781
2015-08-14,107411.605208,0.007035
2015-08-17,108523.133120,0.010348
2015-08-18,107911.775029,-0.005633
2015-08-19,106531.622943,-0.012790
2015-08-20,104345.590454,-0.020520
2015-08-21,97963.519399,-0.061163
2015-08-24,95518.134339,-0.024962
2015-08-25,96092.406022,0.006012
2015-08-26,101603.782183,0.057355
2015-08-27,104595.663539,0.029447
2015-08-28,104938.405341,0.003277
2015-08-31,104447.499238,-0.004678
2015-09-01,99779.034700,-0.044697
2015-09-02,104058.446729,0.042889
2015-09-03,102233.659826,-0.017536
2015-09-04,101214.761211,-0.009966
2015-09-08,104030.663459,0.027821
2015-09-09,102029.881680,-0.019233
2015-09-10,104271.480710,0.021970
2015-09-11,105790.588567,0.014569
2015-09-14,106809.510835,0.009632
2015-09-15,107708.012651,0.008412
2015-09-16,107828.401566,0.001118
2015-09-17,105521.964394,-0.021390
2015-09-18,105086.601179,-0.004126
2015-09-21,106716.857886,0.015513
2015-09-22,105040.306240,-0.015710
2015-09-23,105892.497350,0.008113
2015-09-24,106522.335573,0.005948
2015-09-25,106253.727168,-0.002522
2015-09-28,104151.076026,-0.019789
2015-09-29,101020.238898,-0.030061
2015-09-30,102168.821683,0.011370
2015-10-01,101501.928588,-0.006527
2015-10-02,102242.947196,0.007301
2015-10-05,102613.440733,0.003624
2015-10-06,103104.378372,0.004784
2015-10-07,102613.440733,-0.004762
2015-10-08,101427.787307,-0.011555
2015-10-09,103854.644931,0.023927
2015-10-12,103373.018313,-0.004638
2015-10-13,103548.989537,0.001702
2015-10-14,102085.487641,-0.014133
2015-10-15,103613.811912,0.014971
2015-10-16,102854.297403,-0.007330
2015-10-19,103493.407229,0.006214
2015-10-20,105383.040158,0.018258
2015-10-21,105373.760672,-0.000088
2015-10-22,106985.489943,0.015295
2015-10-23,110301.562013,0.030996
2015-10-26,106781.688144,-0.031911
2015-10-27,106105.523447,-0.006332
2015-10-28,110477.564773,0.041205
2015-10-29,111644.706530,0.010565
2015-10-30,110690.614521,-0.008546
2015-11-02,112246.761483,0.014059
2015-11-03,113534.307924,0.011471
2015-11-04,113006.331180,-0.004650
2015-11-05,112485.371209,-0.004610
2015-11-06,112615.615144,0.001158
2015-11-09,112159.800793,-0.004048
2015-11-10,108624.868455,-0.031517
2015-11-11,108010.892871,-0.005652
2015-11-12,107648.117786,-0.003359
2015-11-13,104503.862064,-0.029209
2015-11-16,106215.529114,0.016379
2015-11-17,105759.738415,-0.004291
2015-11-18,109108.592221,0.031665
2015-11-19,110494.633666,0.012703
2015-11-20,110978.436272,0.004379
2015-11-23,109536.512925,-0.012993
2015-11-24,110587.680816,0.009597
2015-11-25,109796.992910,-0.007150
2015-11-27,109592.315986,-0.001864
2015-11-30,110048.138221,0.004159
2015-12-01,109155.100028,-0.008115
