Date,Equity,DailyReturn
2015-01-01,99900.000000,0.000000
2015-01-02,100149.071847,0.002493
2015-01-03,89356.309529,-0.107767
2015-01-04,83987.913802,-0.060079
2015-01-05,87255.617751,0.038907
2015-01-06,90979.829319,0.042682
2015-01-07,93570.091678,0.028471
2015-01-08,90076.991033,-0.037331
2015-01-09,92321.052682,0.024913
2015-01-10,87357.979070,-0.053759
2015-01-11,84453.637917,-0.033246
2015-01-12,85132.670566,0.008040
2015-01-13,71801.483895,-0.156593
2015-01-14,56619.159070,-0.211449
2015-01-15,66709.660679,0.178217
2015-01-16,66154.289158,-0.008325
2015-01-17,63344.994337,-0.042466
2015-01-18,66867.025079,0.055601
2015-01-19,68304.570531,0.021499
2015-01-20,67177.296005,-0.016504
2015-01-21,72130.832969,0.073738
2015-01-22,74200.052830,0.028687
2015-01-23,74032.516329,-0.002258
2015-01-24,78790.862451,0.064274
2015-01-25,80657.261182,0.023688
2015-01-26,86937.396384,0.077862
2015-01-27,83759.024539,-0.036559
2015-01-28,74361.860551,-0.112193
2015-01-29,74234.066553,-0.001719
2015-01-30,71980.783556,-0.030354
2015-01-31,69132.071235,-0.039576
2015-02-01,72154.674590,0.043722
2015-02-02,75733.289769,0.049596
2015-02-03,72248.775018,-0.046010
2015-02-04,72116.843297,-0.001826
2015-02-05,69019.848264,-0.042944
2015-02-06,70658.633490,0.023744
2015-02-07,72403.272602,0.024691
2015-02-08,71022.947041,-0.019064
2015-02-09,69973.236608,-0.014780
2015-02-10,69887.086621,-0.001231
2015-02-11,69679.177014,-0.002975
2015-02-12,70499.047429,0.011766
2015-02-13,74842.529944,0.061611
2015-02-14,81802.663101,0.092997
2015-02-15,74651.151821,-0.087424
2015-02-16,74338.974536,-0.004182
2015-02-17,77443.915158,0.041767
2015-02-18,75128.323796,-0.029900
2015-02-19,76386.259136,0.016744
2015-02-20,77497.642482,0.014550
2015-02-21,77737.654600,0.003097
2015-02-22,75017.376582,-0.034993
2015-02-23,75944.056489,0.012353
2015-02-24,75894.146736,-0.000657
2015-02-25,75492.001893,-0.005299
2015-02-26,75160.111007,-0.004396
2015-02-27,80692.230510,0.073604
2015-02-28,80830.516762,0.001714
2015-03-01,82718.530603,0.023358
2015-03-02,87635.832183,0.059446
2015-03-03,89553.406723,0.021881
2015-03-04,86816.281920,-0.030564
2015-03-05,87797.324603,0.011300
2015-03-06,86698.970473,-0.012510
2015-03-07,87823.703186,0.012973
2015-03-08,87217.471157,-0.006903
2015-03-09,92066.415439,0.055596
2015-03-10,92750.861567,0.007434
2015-03-11,94219.243476,0.015831
2015-03-12,93575.495456,-0.006832
2015-03-13,90708.980744,-0.030633
2015-03-14,89611.587070,-0.012098
2015-03-15,91044.684349,0.015992
2015-03-16,92379.863631,0.014665
2015-03-17,90762.387915,-0.017509
2015-03-18,81477.767051,-0.102296
2015-03-19,82949.331076,0.018061
2015-03-20,83210.322851,0.003146
2015-03-21,82662.261467,-0.006586
2015-03-22,85184.806831,0.030516
2015-03-23,84796.966961,-0.004553
2015-03-24,78074.949264,-0.079272
2015-03-25,78266.327386,0.002451
2015-03-26,79008.624007,0.009484
2015-03-27,78530.821430,-0.006047
2015-03-28,80364.792646,0.023354
2015-03-29,77158.756760,-0.039894
2015-03-30,78688.816432,0.019830
2015-03-31,77639.106000,-0.013340
2015-04-01,78608.070222,0.012480
2015-04-02,80430.598431,0.023185
2015-04-03,80849.274758,0.005205
2015-04-04,80650.586498,-0.002458
2015-04-05,82844.418242,0.027202
2015-04-06,81221.218597,-0.019593
2015-04-07,80486.227263,-0.009049
2015-04-08,77892.792489,-0.032222
2015-04-09,77464.894815,-0.005493
2015-04-10,75047.577586,-0.031205
2015-04-11,75200.168810,0.002033
2015-04-12,75073.325566,-0.001687
2015-04-13,71396.481938,-0.048977
2015-04-14,69670.911272,-0.024169
2015-04-15,71156.780270,0.021327
2015-04-16,72663.633775,0.021177
2015-04-17,70854.459785,-0.024898
2015-04-18,71005.144650,0.002127
